"name"	"formals"	"inherited_from_0_4"
"fit_duration_model"	"specification=<MISSING>; chains=4L; iter=2000L; warmup=1000L; cores=.gp3b_default_cores(chains); seed=1L; adapt_delta=0.95; max_treedepth=12L; refresh=0L"	TRUE
"fit_duration_model_backend"	"specification=<MISSING>; backend=c(""rstan"", ""cmdstanr""); chains=4L; iter=2000L; warmup=1000L; cores=.gp3b_default_cores(chains); seed=1L; adapt_delta=0.95; max_treedepth=12L; refresh=0L"	TRUE
"fit_duration_model_cmdstanr"	"specification=<MISSING>; chains=4L; iter=2000L; warmup=1000L; cores=.gp3b_default_cores(chains); seed=1L; adapt_delta=0.95; max_treedepth=12L; refresh=0L"	TRUE
"fit_pupil_model"	"specification=<MISSING>; chains=4L; iter=2000L; warmup=1000L; cores=min(2L, chains); seed=2026; adapt_delta=0.95; max_treedepth=12L; refresh=0L"	TRUE
"fit_pupil_model_backend"	"specification=<MISSING>; backend=c(""rstan"", ""cmdstanr""); chains=4L; iter=2000L; warmup=1000L; cores=min(2L, chains); seed=2026; adapt_delta=0.95; max_treedepth=12L; refresh=0L"	TRUE
"fit_pupil_model_cmdstanr"	"specification=<MISSING>; chains=4L; iter=2000L; warmup=1000L; cores=min(2L, chains); seed=2026; adapt_delta=0.95; max_treedepth=12L; refresh=0L"	TRUE
"fit_pupil_response_shape_model"	"specification=<MISSING>; backend=c(""rstan"", ""cmdstanr""); chains=4L; iter=2500L; warmup=1250L; cores=min(2L, chains); seed=2026; adapt_delta=0.97; max_treedepth=13L; refresh=0L"	FALSE
"freeze_analysis_manifest"	"manifest=<MISSING>; file=NULL; overwrite=FALSE"	TRUE
"freeze_gp3bayes_schema"	"schema=<MISSING>; file=NULL; overwrite=FALSE"	TRUE
"gazepoint_pupil_mapping_table"	"x=<MISSING>"	TRUE
"gp3bayes_specification_traceability"	""	TRUE
"group_deletion_sensitivity_table"	"x=<MISSING>"	TRUE
"group_effect_draws_table"	"fit=<MISSING>; groups=NULL; coefficients=NULL; ndraws=NULL; seed=1L; max_rows=1000000L"	TRUE
"group_effect_rank_probability_table"	"fit=<MISSING>; group=<MISSING>; coefficient=""Intercept""; ndraws=1000L; seed=1L"	TRUE
"group_effect_table"	"fit=<MISSING>; groups=NULL; probs=c(0.025, 0.975)"	TRUE
"group_prediction_summary"	"x=<MISSING>; by=<MISSING>; probs=c(0.025, 0.5, 0.975)"	TRUE
"grouped_prediction_check"	"fit=<MISSING>; group=<MISSING>; ndraws=1000L; probs=c(0.025, 0.5, 0.975); seed=1L"	TRUE
"identify_identifier_like_predictors"	"data=<MISSING>; contract=<MISSING>; unique_fraction=0.9; integer_fraction=0.98; monotone_correlation=0.98"	TRUE
"identify_loo_influential_observations"	"x=<MISSING>; threshold=NULL; data=NULL"	TRUE
"identify_mcmc_issues"	"x=<MISSING>; rhat_threshold=1.01; min_bulk_ess=400; min_tail_ess=400; max_mcse_fraction=0.1"	TRUE
"inspect_gazepoint_pupil_schema"	"data=<MISSING>"	TRUE
"interaction_prior_summary"	"specification=<MISSING>"	TRUE
"invert_transformation_recipe"	"data=<MISSING>; recipe=<MISSING>"	TRUE
"loo_diagnostic_table"	"x=<MISSING>"	TRUE
"loo_flagged_data"	"x=<MISSING>; threshold=0.7"	TRUE
"loo_group_influence_table"	"x=<MISSING>; group=<MISSING>; data=NULL"	TRUE
"loo_influence_atlas_table"	"x=<MISSING>"	TRUE
"loo_influence_summary"	"x=<MISSING>"	TRUE
"loo_pointwise_table"	"x=<MISSING>; data=NULL"	TRUE
"loo_summary_table"	"x=<MISSING>"	TRUE
"manifest_comparison_table"	"x=<MISSING>"	TRUE
"materialize_pupil_advanced_sensitivity_scenario"	"suite=<MISSING>; scenario=<MISSING>"	FALSE
"materialize_pupil_sensitivity_scenario"	"suite=<MISSING>; scenario_id=<MISSING>"	TRUE
"mcmc_diagnostic_table"	"fit=<MISSING>; variables=NULL; regex=NULL"	TRUE
"missingness_audit_table"	"x=<MISSING>"	TRUE
"model_card_table"	"x=<MISSING>"	TRUE
"model_comparison_table"	"x=<MISSING>"	TRUE
"model_evidence_table"	"x=<MISSING>"	TRUE
"model_weights_table"	"x=<MISSING>"	TRUE
"model_workflow_status"	"x=<MISSING>"	TRUE
"plot_advanced_pupil_simulation"	"x=<MISSING>; observed=TRUE; ...=<MISSING>"	FALSE
"plot_advanced_pupil_trajectory"	"x=<MISSING>; probability=0.95; ...=<MISSING>"	FALSE
"plot_autocorrelation"	"fit=<MISSING>; variables=NULL; regex=""^b_""; lags=20L"	TRUE
"plot_backend_environment_gg"	"x=<MISSING>"	TRUE
"plot_backend_parity_gg"	"x=<MISSING>"	TRUE
"plot_binary_calibration"	"x=<MISSING>; bins=10L"	TRUE
"plot_binary_calibration_uncertainty"	"x=<MISSING>"	TRUE
"plot_binary_group_calibration"	"x=<MISSING>; group=NULL"	TRUE
"plot_binary_precision_recall"	"x=<MISSING>; observed=NULL"	TRUE
"plot_binary_roc"	"x=<MISSING>; observed=NULL"	TRUE
"plot_binary_threshold_metrics"	"x=<MISSING>; observed=NULL; thresholds=seq(0.1, 0.9, by = 0.05)"	TRUE
"plot_binocular_pupil_trajectory"	"x=<MISSING>; probability=x$probability; ...=<MISSING>"	FALSE
"plot_design_support_gg"	"x=<MISSING>"	TRUE
"plot_diagnostic_dashboard"	"x=<MISSING>"	TRUE
"plot_duration_pit"	"x=<MISSING>; bins=10L"	TRUE
"plot_duration_qq"	"x=<MISSING>"	TRUE
"plot_duration_quantile_calibration"	"x=<MISSING>"	TRUE
"plot_duration_tail"	"x=<MISSING>"	TRUE
"plot_estimand_intervals"	"x=<MISSING>; quantities=NULL; probs=c(0.025, 0.5, 0.975)"	TRUE
"plot_estimand_sensitivity_gg"	"x=<MISSING>"	TRUE
"plot_exceedance_probability"	"x=<MISSING>"	TRUE
"plot_group_deletion_sensitivity"	"x=<MISSING>"	TRUE
"plot_group_effect_distribution"	"x=<MISSING>; max_levels=20L"	TRUE
"plot_group_effect_rank_probability"	"x=<MISSING>"	TRUE
"plot_group_effects"	"x=<MISSING>; groups=NULL"	TRUE
"plot_group_predictions"	"x=<MISSING>; group_column=<MISSING>"	TRUE
"plot_grouped_prediction_check"	"x=<MISSING>"	TRUE
"plot_loo_group_elpd"	"x=<MISSING>"	TRUE
"plot_loo_group_influence"	"x=<MISSING>"	TRUE
"plot_loo_influence"	"x=<MISSING>"	TRUE
"plot_loo_influence_rank"	"x=<MISSING>"	TRUE
"plot_loo_pareto_vs_elpd"	"x=<MISSING>"	TRUE
"plot_loo_pointwise_elpd"	"x=<MISSING>"	TRUE
"plot_manifest_comparison_gg"	"x=<MISSING>"	TRUE
"plot_mcmc_quality"	"x=<MISSING>"	TRUE
"plot_missingness_gg"	"x=<MISSING>"	TRUE
"plot_model_comparison"	"x=<MISSING>"	TRUE
